Node,forT,P,Q
1316,90,-0.0030769954,0.0000000000
1316,91,-0.0029779945,0.0000000000
1316,92,-0.0028768887,0.0000000000
1317,89,0.3490310244,0.0000000000
1317,90,0.3476009699,0.0000000000
1317,91,0.3472001639,0.0000000000
1317,92,0.3483951349,0.0000000000
1318,89,0.0296324708,0.0000000000
1318,90,0.0364020324,0.0000000000
1318,91,0.0458840750,0.0000000000
1318,92,0.0584426331,0.0000000000
1319,89,-1.0285215184,0.0000000000
1319,90,-0.9328876894,0.0000000000
1319,91,-0.9036333826,0.0000000000
1319,92,-0.8182854810,0.0000000000
1320,89,-0.3019973319,0.0000000000
1320,90,-0.2112716920,0.0000000000
1320,91,-0.1369882433,0.0000000000
1320,92,-0.0787071705,0.0000000000
1321,89,158.7637907510,0.0000000000
1321,90,127.8347151409,0.0000000000
1321,91,96.8928412089,0.0000000000
1321,92,65.9384378844,0.0000000000
1322,89,-0.1207225818,0.0000000000
1322,90,-0.1077328935,0.0000000000
1322,91,-0.0956816261,0.0000000000
1322,92,-0.0845227841,0.0000000000
1323,89,106.9144238066,0.0000000000
1323,90,99.9246327921,0.0000000000
1323,91,92.9341652817,0.0000000000
1323,92,85.9430543361,0.0000000000
1324,89,0.0000000000,0.0000000000
1324,90,0.0000000000,0.0000000000
1324,91,0.0000000000,0.0000000000
1324,92,0.0000000000,0.0000000000
1325,89,0.0000000000,0.0000000000
1325,90,0.0000000000,0.0000000000
1325,91,0.0000000000,0.0000000000
1325,92,0.0000000000,0.0000000000
1326,89,0.3499992423,0.0000000000
1326,90,0.3499992423,0.0000000000
1326,91,0.3499992423,0.0000000000
1326,92,0.3499992423,0.0000000000
1328,89,0.3402691660,0.0000000000
1328,90,0.3407219599,0.0000000000
1328,91,0.3411011627,0.0000000000
1328,92,0.3416317476,0.0000000000
1329,89,-0.0000008290,0.0000000000
1329,90,-0.0000008290,0.0000000000
1329,91,-0.0000008290,0.0000000000
1329,92,-0.0000008290,0.0000000000
1330,89,0.2953805646,0.0000000000
1330,90,0.2969012046,0.0000000000
1330,91,0.2994139690,0.0000000000
